Time, Mass, Net Force, Y-Acceleration, Y-velocity, Altitude
104.625000, 285216.049383, 3899913.915787, 13.673543, 716.400489, 28301.339935
104.750000, 285216.049383, 3900739.325458, 13.676437, 718.110044, 28391.103690
104.875000, 285216.049383, 3901565.538689, 13.679334, 719.819960, 28481.081185
105.000000, 285216.049383, 3902392.494260, 13.682233, 721.530240, 28571.272465
105.125000, 282753.703704, 3927126.209210, 13.888859, 723.266347, 28661.680759
105.250000, 282753.703704, 3927944.480755, 13.891753, 725.002816, 28752.306111
105.375000, 282753.703704, 3928763.512222, 13.894649, 726.739647, 28843.148566
105.500000, 282753.703704, 3929583.242309, 13.897548, 728.476841, 28934.208171
105.625000, 282753.703704, 3930403.610157, 13.900450, 730.214397, 29025.484971
105.750000, 282753.703704, 3931224.555349, 13.903353, 731.952316, 29116.979011
105.875000, 282753.703704, 3932046.017918, 13.906258, 733.690598, 29208.690335
106.000000, 282753.703704, 3932867.938347, 13.909165, 735.429244, 29300.618991
106.125000, 280291.358025, 3957590.894932, 14.119561, 737.194189, 29392.768264
106.250000, 280291.358025, 3958403.978225, 14.122462, 738.959497, 29485.138202
106.375000, 280291.358025, 3959217.537712, 14.125364, 740.725167, 29577.728847
106.500000, 280291.358025, 3960031.513863, 14.128268, 742.491201, 29670.540248
106.625000, 280291.358025, 3960845.847618, 14.131174, 744.257597, 29763.572447
106.750000, 280291.358025, 3961660.480382, 14.134080, 746.024357, 29856.825492
106.875000, 280291.358025, 3962475.354039, 14.136987, 747.791481, 29950.299427
107.000000, 280291.358025, 3963290.410946, 14.139895, 749.558968, 30043.994298
107.125000, 277829.012346, 3988000.688087, 14.354155, 751.353237, 30137.913453
107.250000, 277829.012346, 3988806.768421, 14.357056, 753.147869, 30232.056936
107.375000, 277829.012346, 3989613.051373, 14.359958, 754.942864, 30326.424794
107.500000, 277829.012346, 3990419.479356, 14.362861, 756.738222, 30421.017072
107.625000, 277829.012346, 3991225.995268, 14.365764, 758.533942, 30515.833815
107.750000, 277829.012346, 3992032.542505, 14.368667, 760.330025, 30610.875068
107.875000, 277829.012346, 3992839.064958, 14.371570, 762.126472, 30706.140877
108.000000, 277829.012346, 3993645.507019, 14.374473, 763.923281, 30801.631287
108.125000, 275366.666667, 4018341.260153, 14.592693, 765.747367, 30897.349708
108.250000, 275366.666667, 4019138.601301, 14.595589, 767.571816, 30993.296185
108.375000, 275366.666667, 4019935.882730, 14.598484, 769.396626, 31089.470763
108.500000, 275366.666667, 4020733.048946, 14.601379, 771.221799, 31185.873488
108.625000, 275366.666667, 4021530.044964, 14.604273, 773.047333, 31282.504405
108.750000, 275366.666667, 4022326.816317, 14.607167, 774.873229, 31379.363558
108.875000, 275366.666667, 4023123.309055, 14.610059, 776.699486, 31476.450994
109.000000, 275366.666667, 4023919.469751, 14.612951, 778.526105, 31573.766757
109.125000, 272904.320988, 4048598.938481, 14.835232, 780.380509, 31671.314321
